57 timesteps needed to evacuate a building with 1 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1769 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 776 tenants (or 3880 ppl) per floor total
1771 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 777 tenants (or 3885 ppl) per floor total
1772 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 778 tenants (or 3890 ppl) per floor total
1773 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 779 tenants (or 3895 ppl) per floor total
1775 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 780 tenants (or 3900 ppl) per floor total
1776 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 781 tenants (or 3905 ppl) per floor total
1777 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 782 tenants (or 3910 ppl) per floor total
1779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 783 tenants (or 3915 ppl) per floor total
1780 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 784 tenants (or 3920 ppl) per floor total
1781 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 785 tenants (or 3925 ppl) per floor total
1783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 786 tenants (or 3930 ppl) per floor total
1784 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 787 tenants (or 3935 ppl) per floor total
1785 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 788 tenants (or 3940 ppl) per floor total
1787 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 789 tenants (or 3945 ppl) per floor total
1788 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 790 tenants (or 3950 ppl) per floor total
1789 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 791 tenants (or 3955 ppl) per floor total
1791 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 792 tenants (or 3960 ppl) per floor total
1792 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 793 tenants (or 3965 ppl) per floor total
1793 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 794 tenants (or 3970 ppl) per floor total
1795 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 795 tenants (or 3975 ppl) per floor total
1796 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 796 tenants (or 3980 ppl) per floor total
1797 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 797 tenants (or 3985 ppl) per floor total
1799 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 798 tenants (or 3990 ppl) per floor total
1800 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 799 tenants (or 3995 ppl) per floor total
1801 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 800 tenants (or 4000 ppl) per floor total
1803 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 801 tenants (or 4005 ppl) per floor total
1804 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 802 tenants (or 4010 ppl) per floor total
1805 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 803 tenants (or 4015 ppl) per floor total
1807 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 804 tenants (or 4020 ppl) per floor total
1808 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 805 tenants (or 4025 ppl) per floor total
1809 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 806 tenants (or 4030 ppl) per floor total
1811 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 807 tenants (or 4035 ppl) per floor total
1812 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 808 tenants (or 4040 ppl) per floor total
1813 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 809 tenants (or 4045 ppl) per floor total
1815 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 810 tenants (or 4050 ppl) per floor total
1816 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 811 tenants (or 4055 ppl) per floor total
1817 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 812 tenants (or 4060 ppl) per floor total
1819 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 813 tenants (or 4065 ppl) per floor total
1820 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 814 tenants (or 4070 ppl) per floor total
1821 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 815 tenants (or 4075 ppl) per floor total
1823 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 816 tenants (or 4080 ppl) per floor total
1824 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 817 tenants (or 4085 ppl) per floor total
1825 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 818 tenants (or 4090 ppl) per floor total
1827 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 819 tenants (or 4095 ppl) per floor total
1828 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 820 tenants (or 4100 ppl) per floor total
1829 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 821 tenants (or 4105 ppl) per floor total
1831 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 822 tenants (or 4110 ppl) per floor total
1832 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 823 tenants (or 4115 ppl) per floor total
1833 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 824 tenants (or 4120 ppl) per floor total
1835 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 825 tenants (or 4125 ppl) per floor total
1836 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 826 tenants (or 4130 ppl) per floor total
1837 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 827 tenants (or 4135 ppl) per floor total
1839 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 828 tenants (or 4140 ppl) per floor total
1840 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 829 tenants (or 4145 ppl) per floor total
1841 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 830 tenants (or 4150 ppl) per floor total
1843 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 831 tenants (or 4155 ppl) per floor total
1844 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 832 tenants (or 4160 ppl) per floor total
1845 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 833 tenants (or 4165 ppl) per floor total
1847 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 834 tenants (or 4170 ppl) per floor total
1848 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 835 tenants (or 4175 ppl) per floor total
1849 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 836 tenants (or 4180 ppl) per floor total
1851 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 837 tenants (or 4185 ppl) per floor total
1852 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 838 tenants (or 4190 ppl) per floor total
1853 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 839 tenants (or 4195 ppl) per floor total
1855 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 840 tenants (or 4200 ppl) per floor total
1856 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 841 tenants (or 4205 ppl) per floor total
1857 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 842 tenants (or 4210 ppl) per floor total
1859 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 843 tenants (or 4215 ppl) per floor total
1860 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 844 tenants (or 4220 ppl) per floor total
1861 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 845 tenants (or 4225 ppl) per floor total
1863 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 846 tenants (or 4230 ppl) per floor total
1864 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 847 tenants (or 4235 ppl) per floor total
1865 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 848 tenants (or 4240 ppl) per floor total
1867 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 849 tenants (or 4245 ppl) per floor total
1868 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 850 tenants (or 4250 ppl) per floor total
1869 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 851 tenants (or 4255 ppl) per floor total
1871 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 852 tenants (or 4260 ppl) per floor total
1872 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 853 tenants (or 4265 ppl) per floor total
1873 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 854 tenants (or 4270 ppl) per floor total
1875 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 855 tenants (or 4275 ppl) per floor total
1876 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 856 tenants (or 4280 ppl) per floor total
1877 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 857 tenants (or 4285 ppl) per floor total
1879 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 858 tenants (or 4290 ppl) per floor total
1880 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 859 tenants (or 4295 ppl) per floor total
1881 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 860 tenants (or 4300 ppl) per floor total
1883 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 861 tenants (or 4305 ppl) per floor total
1884 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 862 tenants (or 4310 ppl) per floor total
1885 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 863 tenants (or 4315 ppl) per floor total
1887 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 864 tenants (or 4320 ppl) per floor total
1888 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 865 tenants (or 4325 ppl) per floor total
1889 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 866 tenants (or 4330 ppl) per floor total
1891 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 867 tenants (or 4335 ppl) per floor total
1892 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 868 tenants (or 4340 ppl) per floor total
1893 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 869 tenants (or 4345 ppl) per floor total
1895 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 870 tenants (or 4350 ppl) per floor total
1896 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 871 tenants (or 4355 ppl) per floor total
1897 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 872 tenants (or 4360 ppl) per floor total
1899 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 873 tenants (or 4365 ppl) per floor total
1900 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 874 tenants (or 4370 ppl) per floor total
1901 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 875 tenants (or 4375 ppl) per floor total
1903 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 876 tenants (or 4380 ppl) per floor total
1904 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 877 tenants (or 4385 ppl) per floor total
1905 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 878 tenants (or 4390 ppl) per floor total
1907 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 879 tenants (or 4395 ppl) per floor total
1908 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 880 tenants (or 4400 ppl) per floor total
1909 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 881 tenants (or 4405 ppl) per floor total
1911 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 882 tenants (or 4410 ppl) per floor total
1912 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 883 tenants (or 4415 ppl) per floor total
1913 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 884 tenants (or 4420 ppl) per floor total
1915 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 885 tenants (or 4425 ppl) per floor total
1916 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 886 tenants (or 4430 ppl) per floor total
1917 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 887 tenants (or 4435 ppl) per floor total
1919 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 888 tenants (or 4440 ppl) per floor total
1920 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 889 tenants (or 4445 ppl) per floor total
1921 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 890 tenants (or 4450 ppl) per floor total
1923 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 891 tenants (or 4455 ppl) per floor total
1924 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 892 tenants (or 4460 ppl) per floor total
1925 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 893 tenants (or 4465 ppl) per floor total
1927 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 894 tenants (or 4470 ppl) per floor total
1928 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 895 tenants (or 4475 ppl) per floor total
1929 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 896 tenants (or 4480 ppl) per floor total
1931 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 897 tenants (or 4485 ppl) per floor total
1932 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 898 tenants (or 4490 ppl) per floor total
1933 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 899 tenants (or 4495 ppl) per floor total
1935 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 900 tenants (or 4500 ppl) per floor total
1936 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 901 tenants (or 4505 ppl) per floor total
1937 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 902 tenants (or 4510 ppl) per floor total
1939 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 903 tenants (or 4515 ppl) per floor total
1940 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 904 tenants (or 4520 ppl) per floor total
1941 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 905 tenants (or 4525 ppl) per floor total
1943 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 906 tenants (or 4530 ppl) per floor total
1944 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 907 tenants (or 4535 ppl) per floor total
1945 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 908 tenants (or 4540 ppl) per floor total
1947 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 909 tenants (or 4545 ppl) per floor total
1948 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 910 tenants (or 4550 ppl) per floor total
1949 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 911 tenants (or 4555 ppl) per floor total
1951 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 912 tenants (or 4560 ppl) per floor total
1952 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 913 tenants (or 4565 ppl) per floor total
1953 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 914 tenants (or 4570 ppl) per floor total
1955 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 915 tenants (or 4575 ppl) per floor total
1956 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 916 tenants (or 4580 ppl) per floor total
1957 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 917 tenants (or 4585 ppl) per floor total
1959 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 918 tenants (or 4590 ppl) per floor total
1960 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 919 tenants (or 4595 ppl) per floor total
1961 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 920 tenants (or 4600 ppl) per floor total
1963 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 921 tenants (or 4605 ppl) per floor total
1964 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 922 tenants (or 4610 ppl) per floor total
1965 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 923 tenants (or 4615 ppl) per floor total
1967 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 924 tenants (or 4620 ppl) per floor total
1968 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 925 tenants (or 4625 ppl) per floor total
1969 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 926 tenants (or 4630 ppl) per floor total
1971 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 927 tenants (or 4635 ppl) per floor total
1972 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 928 tenants (or 4640 ppl) per floor total
1973 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 929 tenants (or 4645 ppl) per floor total
1975 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 930 tenants (or 4650 ppl) per floor total
1976 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 931 tenants (or 4655 ppl) per floor total
1977 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 932 tenants (or 4660 ppl) per floor total
1979 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 933 tenants (or 4665 ppl) per floor total
1980 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 934 tenants (or 4670 ppl) per floor total
1981 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 935 tenants (or 4675 ppl) per floor total
1983 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 936 tenants (or 4680 ppl) per floor total
1984 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 937 tenants (or 4685 ppl) per floor total
1985 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 938 tenants (or 4690 ppl) per floor total
1987 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 939 tenants (or 4695 ppl) per floor total
1988 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 940 tenants (or 4700 ppl) per floor total
1989 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 941 tenants (or 4705 ppl) per floor total
1991 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 942 tenants (or 4710 ppl) per floor total
1992 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 943 tenants (or 4715 ppl) per floor total
1993 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 944 tenants (or 4720 ppl) per floor total
1995 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 945 tenants (or 4725 ppl) per floor total
1996 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 946 tenants (or 4730 ppl) per floor total
1997 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 947 tenants (or 4735 ppl) per floor total
1999 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 948 tenants (or 4740 ppl) per floor total
2000 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 949 tenants (or 4745 ppl) per floor total
2001 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 950 tenants (or 4750 ppl) per floor total
2003 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 951 tenants (or 4755 ppl) per floor total
2004 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 952 tenants (or 4760 ppl) per floor total
2005 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 953 tenants (or 4765 ppl) per floor total
2007 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 954 tenants (or 4770 ppl) per floor total
2008 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 955 tenants (or 4775 ppl) per floor total
2009 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 956 tenants (or 4780 ppl) per floor total
2011 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 957 tenants (or 4785 ppl) per floor total
2012 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 958 tenants (or 4790 ppl) per floor total
2013 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 959 tenants (or 4795 ppl) per floor total
2015 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 960 tenants (or 4800 ppl) per floor total
2016 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 961 tenants (or 4805 ppl) per floor total
2017 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 962 tenants (or 4810 ppl) per floor total
2019 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 963 tenants (or 4815 ppl) per floor total
2020 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 964 tenants (or 4820 ppl) per floor total
2021 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 965 tenants (or 4825 ppl) per floor total
2023 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 966 tenants (or 4830 ppl) per floor total
2024 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 967 tenants (or 4835 ppl) per floor total
2025 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 968 tenants (or 4840 ppl) per floor total
2027 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 969 tenants (or 4845 ppl) per floor total
2028 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 970 tenants (or 4850 ppl) per floor total
2029 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 971 tenants (or 4855 ppl) per floor total
2031 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 972 tenants (or 4860 ppl) per floor total
2032 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 973 tenants (or 4865 ppl) per floor total
2033 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 974 tenants (or 4870 ppl) per floor total
2035 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 975 tenants (or 4875 ppl) per floor total
2036 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 976 tenants (or 4880 ppl) per floor total
2037 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 977 tenants (or 4885 ppl) per floor total
2039 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 978 tenants (or 4890 ppl) per floor total
2040 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 979 tenants (or 4895 ppl) per floor total
2041 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 980 tenants (or 4900 ppl) per floor total
2043 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 981 tenants (or 4905 ppl) per floor total
2044 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 982 tenants (or 4910 ppl) per floor total
2045 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 983 tenants (or 4915 ppl) per floor total
2047 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 984 tenants (or 4920 ppl) per floor total
2048 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 985 tenants (or 4925 ppl) per floor total
2049 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 986 tenants (or 4930 ppl) per floor total
2051 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 987 tenants (or 4935 ppl) per floor total
2052 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 988 tenants (or 4940 ppl) per floor total
2053 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 989 tenants (or 4945 ppl) per floor total
2055 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 990 tenants (or 4950 ppl) per floor total
2056 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 991 tenants (or 4955 ppl) per floor total
2057 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 992 tenants (or 4960 ppl) per floor total
2059 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 993 tenants (or 4965 ppl) per floor total
2060 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 994 tenants (or 4970 ppl) per floor total
2061 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 995 tenants (or 4975 ppl) per floor total
2063 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 996 tenants (or 4980 ppl) per floor total
2064 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 997 tenants (or 4985 ppl) per floor total
2065 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 998 tenants (or 4990 ppl) per floor total
2067 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 999 tenants (or 4995 ppl) per floor total